# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/tede0387/8_Structural-Annotation/braker3/braker3_output/braker.gtf" "-o" "/proj/uppmax2026-1-61/nobackup/work/tede0387/10_Gene-Quantification/counts.txt" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam
g232	contig_120_pilon	667066	669393	-	2328	1425	218	361	130	25	882
g233	contig_120_pilon	675143	675493	-	351	0	0	0	0	0	0
g234	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	677457;678067;678526;678937;679386;679752;680104	677574;678202;678607;679115;679523;679888;680342	+;+;+;+;+;+;+	1029	271	237	284	277	204	343
g235	contig_120_pilon	681431	681889	-	459	991	1331	1555	2285	2336	1273
g236	contig_120_pilon	687546	688004	+	459	2158	4396	4739	4055	3946	2877
g237	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	689787;691236;691959;692421;692754;693090;693284;693564;693750;694053;694362	690478;691571;692105;692521;692822;693161;693355;693635;693821;694188;694464	-;-;-;-;-;-;-;-;-;-;-	1872	16	559	333	15	4	33
g238	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	699119;699567;699860;700264;700760;701074;701322;701536;701890;702145	699430;699700;700117;700602;700912;701162;701393;701679;702022;702238	-;-;-;-;-;-;-;-;-;-	1728	286	695	615	135	101	275
g239	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	707839;709072;709450;709684;709992;710410;710638	708958;709304;709576;709752;710187;710515;710946	+;+;+;+;+;+;+	2160	1	6	4	0	0	3
g240	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	716502;717184;717379;717694;717941;718231;718484;718911;719181;719517;719929	716984;717264;717453;717756;718036;718314;718562;719015;719298;719615;719983	-;-;-;-;-;-;-;-;-;-;-	1338	572	246	240	131	79	219
g241	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	724256;724555;724846;725184;725581;725821;726178;726440;726824;727145;727623;728024;728240	724298;724634;725016;725285;725655;725967;726306;726526;726963;727279;727793;728086;728291	-;-;-;-;-;-;-;-;-;-;-;-;-	1395	479	453	502	259	159	306
g242	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	730562;731407;731741;732215;732506	730907;731481;731883;732352;732709	+;+;+;+;+	906	159	163	194	147	92	282
g243	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	733084;733084;734878;735986	735375;734850;735409;736011	-;-;-;-	2352	231	994	819	165	75	248
g244	contig_120_pilon;contig_120_pilon	738716;738716	740902;739303	-;-	2187	681	1027	1944	6760	7606	27608
g245	contig_120_pilon	743305	743853	+	549	0	0	1	1	3	0
g246	contig_120_pilon	751831	752313	-	483	10	17	16	7	17	9
g247	contig_120_pilon;contig_120_pilon;contig_120_pilon	768612;769128;769529	768917;769195;769619	-;-;-	465	51	131	118	47	68	82
g248	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	793961;794321;795234;795776	794150;795100;795329;796035	-;-;-;-	1326	630	3805	4898	1419	750	1107
g249	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	835315;835588;836008;836361;836777;837077	835435;835749;836129;836393;836858;837117	-;-;-;-;-;-	561	553	653	784	373	140	437
g250	contig_120_pilon;contig_120_pilon	838109;839191	838148;840149	+;+	999	139	262	296	48	24	120
g251	contig_120_pilon;contig_120_pilon	850971;851520	851232;851539	+;+	282	157	145	240	275	253	407
g252	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	851953;852358;853154;853396	852145;852856;853279;853942	+;+;+;+	1365	406	199	547	970	762	798
g253	contig_120_pilon	859462	860517	-	1056	10	36	34	8	9	33
g254	contig_120_pilon	881491	881790	+	300	135	123	122	386	337	200
g255	contig_120_pilon;contig_120_pilon;contig_120_pilon	889510;890282;890872	889690;890580;891045	+;+;+	654	1461	336	537	1307	1394	1067
g256	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	896518;896764;897103;898039;898314;898477;898664;898855;899036;899330	896596;896989;897929;898186;898385;898548;898735;898932;899211;899463	+;+;+;+;+;+;+;+;+;+	1884	46	6	21	56	42	51
g257	contig_120_pilon;contig_120_pilon;contig_120_pilon	909325;909716;910250	909571;910098;910588	-;-;-	969	9037	2443	4592	4520	5004	4610
g258	contig_120_pilon	911445	911714	+	270	8	0	0	18	36	21
g259	contig_120_pilon	912679	913581	-	903	16518	132	305	1144	864	2061
g260	contig_120_pilon;contig_120_pilon;contig_120_pilon	921477;921865;922360	921776;922247;922594	+;+;+	918	22339	974	1310	1889	1858	4588
g261	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	926221;926379;927077;927380;927895	926243;926573;927246;927759;928008	-;-;-;-;-	882	4910	555	1511	9499	23233	11111
g262	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	930251;930587;931044;931533;931892;932172;932617;933002;933237;933642;933865;934165;934286	930367;930655;931102;931619;931994;932236;932688;933024;933326;933716;933902;934184;934811	-;-;-;-;-;-;-;-;-;-;-;-;-	1344	3277	1788	1780	2062	1840	2554
g263	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	940230;940572;941022;941254;941601	940232;940683;941089;941328;941660	+;+;+;+;+	318	3029	2533	3531	4868	4812	3483
g264	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	943071;943180;943230;943698;943698	943090;943589;943589;943890;943890	+;+;+;+;+	623	6	5	6	71	52	12
g265	contig_120_pilon;contig_120_pilon	945117;946627	946368;946673	-;-	1299	374	456	439	657	506	884
g266	contig_120_pilon	950331	951170	+	840	0	0	0	0	0	0
g267	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	964547;964547;964820;964820;965041;965041;965320;965320;965645;965645;965929;965929;966215;966215;966540;966540;966776;966776;966975;966975;968153;968153;968307	964642;964642;964894;964894;965154;965154;965421;965421;965742;965742;966022;966022;966277;966277;966650;966650;966874;966874;967165;967165;968218;968330;968403	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1294	831	951	829	299	269	545
g268	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	969779;969779;970383;970383;970584;970584;970894;971333;971333;971641;971641	969906;969906;970459;970459;971053;970713;971053;971518;971518;971754;971754	+;+;+;+;+;+;+;+;+;+;+	975	272	192	196	69	77	118
g269	contig_120_pilon	980865	982064	-	1200	1386	3386	1117	585	942	461
g270	contig_120_pilon;contig_120_pilon;contig_120_pilon	982104;982431;983473	982110;982566;983605	-;-;-	276	50	54	32	17	30	62
g271	contig_120_pilon;contig_120_pilon;contig_120_pilon	984386;984668;984993	984402;984797;985190	-;-;-	345	64	40	55	22	2	32
g272	contig_120_pilon;contig_120_pilon	985415;985605	985462;985673	-;-	117	6	36	14	3	1	13
g273	contig_120_pilon;contig_120_pilon	985739;986059	985755;986074	-;-	33	26	11	3	1	0	4
g274	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	986553;987160;987618;988132;988689;988952	986769;987413;987719;988248;988834;989117	+;+;+;+;+;+	1002	203	244	194	130	97	270
g275	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	990082;990082;990402;990402;990908;990908;991481;991481;992029;992029;992715;993363;993363;993961;993961	990216;990216;990594;990594;991297;991297;991744;991744;992382;992382;993005;993427;993427;994164;994164	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1896	156	167	142	200	47	227
g276	contig_120_pilon	999549	999803	+	255	12	41	73	23	10	19
g277	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1001623;1001964;1002207;1002570;1002974;1003447;1003759;1004052;1004393;1004996;1005243	1001722;1002044;1002289;1002859;1003145;1003569;1003902;1004252;1004755;1005103;1005506	+;+;+;+;+;+;+;+;+;+;+	1929	941	10136	9590	1110	570	1100
g278	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1006982;1006982;1006982;1006982;1006982;1007432;1007432;1007432;1007432;1011660;1011741;1012110;1012110;1012258;1012456;1012513;1012594	1007133;1007133;1007133;1007133;1007062;1007579;1007915;1007777;1007834;1011811;1011811;1012761;1012761;1012761;1012761;1012761;1012761	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1440	1877	2183	2587	518	729	632
g279	contig_120_pilon	1011389	1011919	-	531	0	4	3	7	5	0
g280	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1017853;1018602;1018996;1019358;1019679;1020020;1020550	1018327;1018780;1019093;1019495;1019868;1020146;1021496	+;+;+;+;+;+;+	2154	1128	2910	2705	843	669	1575
g281	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1022713;1023036;1023452;1023780;1024100;1024849;1025240;1025543;1025962;1026225	1022931;1023239;1023510;1023856;1024390;1024940;1025313;1025738;1026095;1026363	-;-;-;-;-;-;-;-;-;-	1485	171	180	234	123	43	228
g282	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1038753;1039015;1039050;1039411;1039452;1039815;1039815;1040065;1040065;1040295;1040295;1040631;1040631;1040883;1040883;1041248;1041248;1041512;1041512;1041761;1041761;1042094;1042094;1042447;1042447	1038836;1039102;1039102;1039627;1039627;1039919;1039919;1040163;1040163;1040444;1040444;1040723;1040723;1041083;1041083;1041339;1041339;1041640;1041640;1041866;1041866;1042185;1042185;1042624;1042624	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1634	385	640	663	2856	1586	3026
g283	contig_120_pilon	1043488	1043709	+	222	3	11	4	14	20	100
g284	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1049963;1050920;1051417;1051842;1052100;1052294;1052544;1052927;1053222;1053587;1053831;1054222;1055174	1050413;1051127;1051502;1051921;1052155;1052342;1052711;1053022;1053335;1053717;1054078;1055001;1055223	+;+;+;+;+;+;+;+;+;+;+;+;+	2517	548	618	537	779	385	655
g285	contig_120_pilon;contig_120_pilon	1056343;1056780	1056420;1056812	+;+	111	0	0	0	68	9	16
g286	contig_120_pilon	1058609	1058929	-	321	190	67	67	54	46	96
g287	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1060097;1060363;1060605;1060813;1061119;1061369;1061707;1062060;1062327;1062634;1063134;1063642;1063893;1064286;1064993;1066039	1060210;1060443;1060685;1060893;1061256;1061561;1061813;1062113;1062428;1062759;1063421;1063764;1064073;1064632;1065108;1066399	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2493	1302	1304	1473	1997	1210	2014
g288	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	1069915;1070922;1071571;1071889;1072239;1072565;1072906;1073202	1070721;1071243;1071696;1072098;1072353;1072688;1073010;1073393	+;+;+;+;+;+;+;+	2001	562	682	603	794	336	820
g289	contig_120_pilon	1075067	1075432	+	366	0	4	0	0	0	0
g290	contig_123_pilon;contig_123_pilon;contig_123_pilon;contig_123_pilon;contig_123_pilon	4259;4761;5022;5577;5944	4562;4888;5255;5835;6152	+;+;+;+;+	1134	0	0	0	13	2	62
g291	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	8218;8218;8218;8491;8491;8491;8740;8740;8740;8991;8991;8991;9294;9294;9294;9475;9475;9475;9726;9726;9726;10029;10029;10029;11265;11265	8271;8271;8271;8528;8528;8528;8815;8815;8815;9095;9095;9095;9346;9346;9346;9562;9562;9562;9850;9850;9850;10407;10425;10407;11468;11444	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1140	504	1018	1155	2534	2037	1582
g292	contig_125_pilon;contig_125_pilon	29753;30855	29936;30919	+;+	249	68	89	125	40	15	31
g293	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	32543;32591;32786;32786;33756;33756	32635;32635;33445;33445;34397;34397	+;+;+;+;+;+	1395	528	806	1136	333	278	245
g294	contig_125_pilon;contig_125_pilon;contig_125_pilon	34913;35222;35699	35052;35274;35736	+;+;+	231	0	12	12	2	0	0
g295	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	37312;37733;37922;38186;38426;38766;39098;39494;39746;40044;40425;40724;41125;41408;41755;42012;42421;42743;43148;43341;43918;44140	37354;37812;38014;38287;38548;38827;39178;39548;39814;40229;40476;40766;41221;41602;41907;42233;42602;42842;43207;43427;44037;44454	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2520	1035	4371	4035	723	365	636
g296	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	53630;55360;56231;57037;57341;57930;58407;58666;58983;59313;59630;60028;60363	53997;55966;56305;57177;57534;58022;58505;58723;59111;59374;59701;60130;60455	+;+;+;+;+;+;+;+;+;+;+;+;+	2094	773	1554	1288	1029	463	511
g297	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	67349;67349;67352;67352;67352;67352;67352;67352;67352;78197;78197;78197;78197;78197;78197;78197;78334;78334;78334;78334;78334;78334;78334;78334;78334;78334;78334;78334;78334;78334;78589;78589;78589;78589;78589;78589;78589;78589;78589;78589;78589;78589;78872;78872;78872;78872;78872;78872;78872;78872;78872;78872;78872;79103;79103;79103;79103;79103;79103;79103;79103;79103;79465;79465;79465;79465;79465;79465;79465;80549;80549;83038;83156;83171;83171;83171;83425;83425;83425;83425;83425;83425;83706;83706;83706;83706;83706;83706;83706;83935;83935;83935;83935;83935;83935;83935;83935;83935;84296;84296;84296;84296;84296;84296;84296;84296;84296;84296;84296;84403;84403;84580;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426;85426	67351;67351;67360;67360;67360;67360;67360;67360;67360;78199;78199;78199;78199;78199;78199;78199;78380;78380;78380;78380;78380;78380;78380;78380;78380;78380;78380;78380;78380;78380;78737;78737;78737;78737;78737;78737;78737;78737;78737;78737;78737;78737;78981;78981;78981;78981;78981;78981;78981;78981;78981;78981;78981;79190;79190;79190;79190;79190;79190;79190;79190;79190;79771;79571;79771;79571;79748;79771;79771;80621;80621;83040;83217;83217;83217;83217;83573;83573;83573;83573;83573;83573;83815;83815;83815;83815;83815;83815;83815;84022;84022;84022;84022;84022;84022;84022;84022;84022;84602;84602;84602;84602;84602;84602;84602;84602;84602;84602;84602;84602;84602;84602;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498;85498	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1581	2798	1256	2145	3744	3074	1733
g298	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	67476;67721;68007;68239;68602;69714	67513;67869;68116;68326;68908;69786	-;-;-;-;-;-	765	373	400	385	360	369	292
g299	contig_125_pilon	73794	74036	+	243	0	0	0	2	4	0
g300	contig_125_pilon	75388	75975	+	588	0	0	0	5	0	0
g301	contig_125_pilon	108283	108687	-	405	19	39	12	6	1	27
g302	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	125809;125809;126656;126656;127171;127171;127744;127744;127965;128348;128348	126027;126027;126950;126950;127556;127556;127820;127820;128030;128990;128990	-;-;-;-;-;-;-;-;-;-;-	1686	1839	2497	2116	2140	1080	1961
g303	contig_125_pilon;contig_125_pilon;contig_125_pilon	144707;145197;146366	144935;146080;146950	+;+;+	1698	824	648	562	374	241	427
g304	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	149756;150090;150288;150635;151099	149822;150155;150414;150799;151129	+;+;+;+;+	456	372	204	220	254	276	271
g305	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	170460;171237;171897;172660;172997;173352;173671;173911;174185;174423;174760;175097;175580;176559;176829;177216	170574;171670;172224;172836;173064;173459;173784;174006;174283;174551;174864;175264;175743;176628;177064;177465	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2661	862	804	639	1191	433	1142
g306	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	178595;179306;179664;180297	179113;179504;179728;180434	-;-;-;-	921	238	167	240	170	82	287
g307	contig_125_pilon;contig_125_pilon	180575;180575	181090;181087	-;-	516	52	41	38	44	19	48
g308	contig_125_pilon	182137	182412	+	276	3	2	11	17	8	12
g309	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	182703;183555;183989;184592	182888;183887;184154;185193	+;+;+;+	1287	350	443	390	362	430	352
g310	contig_125_pilon;contig_125_pilon	186248;187000	186867;187156	-;-	777	8	3	4	5	6	3
g311	contig_125_pilon;contig_125_pilon	190315;190330	190992;190992	+;+	678	54	673	513	33	20	41
g312	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	191722;191722;192143;192143;192466;192466;193060;193060	191904;191904;192294;192294;192564;192564;193330;193309	-;-;-;-;-;-;-;-	705	77	97	143	134	61	169
g313	contig_125_pilon	193693	193926	+	234	8	10	8	15	2	12
g314	contig_125_pilon;contig_125_pilon	205059;205521	205283;206189	+;+	894	0	0	0	0	0	0
g315	contig_125_pilon	208018	208437	+	420	58	55	77	118	69	78
g316	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	209190;210150;210452;210626;211021	209326;210212;210529;210788;211296	+;+;+;+;+	717	1178	1071	1046	1470	1271	1103
g317	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	215778;215778;217027;217027;217333;217333;217611;217611;217860;217860;218077;218077;218314;218314;218533;218533;218859;218859;219218;219218;219679;219679;220253;220253;220604;220822;220822;221650;221650	216913;216913;217156;217156;217503;217503;217756;217756;217959;217959;218201;218201;218394;218394;218642;218642;219082;219082;219453;219453;219826;219826;220446;220446;220663;221228;221228;221705;221705	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3324	21	36	55	77	32	116
g318	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	226915;227357;227688;228058;228689;229025;229691	227030;227474;227769;228361;228898;229412;229786	-;-;-;-;-;-;-	1314	135	108	164	127	65	208
